id,ts,region,amount
20260907-000,2026-09-07 10:25:41,north,311.02
20260907-001,2026-09-07 16:06:23,north,73.45
20260907-002,2026-09-07 11:02:05,west,864.67
20260907-003,2026-09-07 11:05:35,west,400.17
20260907-004,2026-09-07 17:07:14,north,60.86
20260907-005,2026-09-07 14:03:14,north,550.36
20260907-006,2026-09-07 10:18:26,south,531.05
20260907-007,2026-09-07 17:19:35,south,515.95
20260907-008,2026-09-07 17:40:12,east,102.39
20260907-009,2026-09-07 19:04:36,north,97.07
20260907-010,2026-09-07 15:43:34,west,589.96
20260907-011,2026-09-07 15:37:59,west,739.48
20260907-012,2026-09-07 11:50:11,south,346.70
20260907-013,2026-09-07 12:33:31,east,82.35
20260907-014,2026-09-07 12:38:04,north,694.33
20260907-015,2026-09-07 10:48:21,south,488.78
20260907-016,2026-09-07 14:02:42,north,886.94
20260907-017,2026-09-07 17:50:56,east,727.52
20260907-018,2026-09-07 13:38:31,west,326.42
20260907-019,2026-09-07 09:17:30,north,69.98
20260907-020,2026-09-07 19:19:41,west,62.33
20260907-021,2026-09-07 14:56:42,east,273.94
20260907-022,2026-09-07 15:22:10,north,26.32
20260907-023,2026-09-07 11:49:18,south,471.54
20260907-024,2026-09-07 14:25:58,west,702.75
20260907-025,2026-09-07 15:25:35,east,81.15
20260907-026,2026-09-07 14:55:35,east,839.80
20260907-027,2026-09-07 13:43:56,west,672.54
20260907-028,2026-09-07 10:05:11,south,910.06
20260907-029,2026-09-07 11:00:31,south,224.20
20260907-030,2026-09-07 08:09:26,east,253.30
20260907-031,2026-09-07 13:08:44,north,581.27
20260907-032,2026-09-07 18:51:35,west,436.53
20260907-033,2026-09-07 14:06:30,west,381.18
20260907-034,2026-09-07 09:13:28,south,63.82
20260907-035,2026-09-07 17:03:06,north,108.88
20260907-036,2026-09-07 16:06:23,north,540.61
20260907-037,2026-09-07 11:39:24,south,71.45
20260907-038,2026-09-07 13:38:23,west,604.52
20260907-039,2026-09-07 15:29:30,west,121.09
20260907-040,2026-09-07 10:06:47,east,299.70
