id,ts,region,amount
20260826-000,2026-08-26 11:42:13,west,711.19
20260826-001,2026-08-26 08:08:49,west,572.72
20260826-002,2026-08-26 18:39:32,south,44.44
20260826-003,2026-08-26 11:47:26,south,605.49
20260826-004,2026-08-26 08:42:54,south,748.06
20260826-005,2026-08-26 11:38:30,west,141.27
20260826-006,2026-08-26 17:01:01,east,349.24
20260826-007,2026-08-26 16:07:32,north,803.21
20260826-008,2026-08-26 15:38:42,east,613.95
20260826-009,2026-08-26 18:27:27,south,776.07
20260826-010,2026-08-26 12:12:39,west,58.11
20260826-011,2026-08-26 17:33:09,north,824.23
20260826-012,2026-08-26 10:34:35,north,98.96
20260826-013,2026-08-26 11:23:38,north,49.43
20260826-014,2026-08-26 13:06:26,north,812.36
20260826-015,2026-08-26 19:29:37,north,895.40
20260826-016,2026-08-26 09:43:15,north,43.30
20260826-017,2026-08-26 18:17:22,west,913.31
20260826-018,2026-08-26 15:38:24,north,333.53
20260826-019,2026-08-26 10:36:00,north,918.34
20260826-020,2026-08-26 17:52:44,west,923.94
20260826-021,2026-08-26 10:52:39,north,36.44
20260826-022,2026-08-26 14:03:18,west,661.51
20260826-023,2026-08-26 12:10:57,north,159.87
20260826-024,2026-08-26 08:56:01,west,68.07
20260826-025,2026-08-26 12:31:52,east,520.60
20260826-026,2026-08-26 16:46:25,north,617.88
20260826-027,2026-08-26 11:28:15,east,100.09
20260826-028,2026-08-26 17:32:24,west,226.47
20260826-029,2026-08-26 13:44:05,north,594.19
20260826-030,2026-08-26 19:02:01,south,697.07
20260826-031,2026-08-26 13:04:12,east,380.25
20260826-032,2026-08-26 15:13:42,west,311.04
20260826-033,2026-08-26 16:58:45,north,231.32
20260826-034,2026-08-26 11:13:48,north,102.92
20260826-035,2026-08-26 19:08:02,south,139.89
20260826-036,2026-08-26 16:03:03,west,755.89
20260826-037,2026-08-26 09:26:47,south,462.92
20260826-038,2026-08-26 11:03:35,north,328.47
20260826-039,2026-08-26 14:12:43,west,292.37
20260826-040,2026-08-26 19:31:20,east,779.42
20260826-041,2026-08-26 12:57:41,east,724.71
20260826-042,2026-08-26 17:53:30,north,922.14
20260826-043,2026-08-26 14:56:03,north,792.96
20260826-044,2026-08-26 12:11:38,east,947.98
20260826-045,2026-08-26 11:36:16,west,224.60
20260826-046,2026-08-26 08:38:45,east,660.83
20260826-047,2026-08-26 15:18:06,north,725.58
20260826-048,2026-08-26 16:06:53,north,725.05
20260826-049,2026-08-26 19:58:43,north,823.70
20260826-050,2026-08-26 18:41:44,north,132.27
20260826-051,2026-08-26 19:22:07,west,727.00
20260826-052,2026-08-26 18:55:12,west,379.04
20260826-053,2026-08-26 17:16:48,north,243.00
20260826-054,2026-08-26 15:41:04,east,605.07
20260826-055,2026-08-26 11:17:09,north,780.73
20260826-056,2026-08-26 16:14:59,east,289.34
20260826-057,2026-08-26 15:03:37,west,941.98
20260826-058,2026-08-26 15:19:14,west,106.52
20260826-059,2026-08-26 15:13:10,north,709.39
