id,ts,region,amount
20260827-000,2026-08-27 15:05:35,west,855.99
20260827-001,2026-08-27 08:51:43,north,698.46
20260827-002,2026-08-27 15:38:35,north,123.94
20260827-003,2026-08-27 19:46:28,east,453.49
20260827-004,2026-08-27 16:59:04,south,799.11
20260827-005,2026-08-27 11:12:04,west,73.25
20260827-006,2026-08-27 09:12:30,north,858.81
20260827-007,2026-08-27 16:22:46,south,520.68
20260827-008,2026-08-27 13:35:11,south,547.58
20260827-009,2026-08-27 15:14:18,west,663.01
20260827-010,2026-08-27 15:13:42,south,820.09
20260827-011,2026-08-27 16:24:43,west,795.67
20260827-012,2026-08-27 09:04:17,east,137.84
20260827-013,2026-08-27 12:37:24,south,388.73
20260827-014,2026-08-27 16:44:26,east,548.30
20260827-015,2026-08-27 12:24:39,west,145.10
20260827-016,2026-08-27 17:20:56,north,692.94
20260827-017,2026-08-27 17:38:00,east,739.54
20260827-018,2026-08-27 19:53:03,south,233.71
20260827-019,2026-08-27 13:10:41,east,799.14
20260827-020,2026-08-27 16:02:01,east,627.35
20260827-021,2026-08-27 11:07:15,south,507.94
20260827-022,2026-08-27 15:27:52,south,120.60
20260827-023,2026-08-27 17:47:19,south,110.53
20260827-024,2026-08-27 19:06:36,east,409.78
20260827-025,2026-08-27 14:01:18,west,788.14
20260827-026,2026-08-27 12:08:34,south,929.01
20260827-027,2026-08-27 08:06:11,east,14.62
20260827-028,2026-08-27 14:52:08,west,395.53
20260827-029,2026-08-27 12:21:20,south,235.84
20260827-030,2026-08-27 13:56:34,west,415.65
20260827-031,2026-08-27 14:44:19,east,9.05
20260827-032,2026-08-27 18:38:40,east,408.61
20260827-033,2026-08-27 08:04:12,north,418.63
20260827-034,2026-08-27 09:19:39,west,401.85
