id,ts,region,amount
20260827-000,2026-08-27 18:16:05,south,204.86
20260827-001,2026-08-27 11:46:05,west,944.65
20260827-002,2026-08-27 10:45:25,north,284.03
20260827-003,2026-08-27 13:53:06,south,126.83
20260827-004,2026-08-27 14:49:15,south,337.24
20260827-005,2026-08-27 14:02:22,south,772.89
20260827-006,2026-08-27 15:23:16,south,214.29
20260827-007,2026-08-27 14:20:31,north,839.31
20260827-008,2026-08-27 08:53:03,south,486.57
20260827-009,2026-08-27 17:23:08,south,573.58
20260827-010,2026-08-27 09:29:41,east,244.18
20260827-011,2026-08-27 15:59:19,east,166.79
20260827-012,2026-08-27 16:19:43,west,204.56
20260827-013,2026-08-27 13:30:04,south,314.25
20260827-014,2026-08-27 13:16:18,south,50.94
20260827-015,2026-08-27 09:06:49,west,790.26
20260827-016,2026-08-27 12:41:16,east,491.02
20260827-017,2026-08-27 12:25:02,east,346.43
20260827-018,2026-08-27 12:58:06,east,814.01
20260827-019,2026-08-27 14:30:19,west,473.61
20260827-020,2026-08-27 08:45:04,east,206.23
20260827-021,2026-08-27 12:22:00,west,641.52
20260827-022,2026-08-27 18:41:16,west,825.31
20260827-023,2026-08-27 10:47:15,north,813.23
20260827-024,2026-08-27 10:04:18,south,392.75
20260827-025,2026-08-27 18:32:12,north,854.78
20260827-026,2026-08-27 15:16:17,east,649.48
20260827-027,2026-08-27 16:10:25,north,380.09
20260827-028,2026-08-27 09:54:45,north,790.39
20260827-029,2026-08-27 12:55:09,west,255.63
20260827-030,2026-08-27 11:09:37,west,460.91
