id,ts,region,amount
20260831-000,2026-08-31 09:48:25,south,"12,000.00"
20260831-001,2026-08-31 10:07:34,south,651.25
20260831-002,2026-08-31 10:09:47,north,677.38
20260831-003,2026-08-31 10:14:34,west,630.75
20260831-004,2026-08-31 11:37:05,north,502.14
20260831-005,2026-08-31 14:21:12,south,24.25
20260831-006,2026-08-31 13:38:15,south,317.14
20260831-007,2026-08-31 14:37:42,north,689.16
20260831-008,2026-08-31 10:22:08,south,"1,000.00"
20260831-009,2026-08-31 14:01:05,west,144.51
20260831-010,2026-08-31 11:13:50,west,620.34
20260831-011,2026-08-31 11:21:41,south,694.68
20260831-012,2026-08-31 12:21:18,east,460.58
20260831-013,2026-08-31 15:41:41,east,545.44
20260831-014,2026-08-31 19:06:50,east,913.45
20260831-015,2026-08-31 16:39:59,east,852.13
20260831-016,2026-08-31 11:01:58,east,93.38
20260831-017,2026-08-31 09:42:25,east,662.12
20260831-018,2026-08-31 18:53:56,south,865.04
20260831-019,2026-08-31 11:51:21,west,112.73
20260831-020,2026-08-31 08:35:45,north,385.77
20260831-021,2026-08-31 18:07:12,south,"3,499.99"
20260831-022,2026-08-31 19:54:09,west,321.78
20260831-023,2026-08-31 17:50:32,east,59.77
20260831-024,2026-08-31 17:31:40,north,818.05
20260831-025,2026-08-31 15:08:51,west,812.55
20260831-026,2026-08-31 08:16:31,west,924.63
20260831-027,2026-08-31 08:06:24,east,334.52
20260831-028,2026-08-31 08:08:07,north,426.32
20260831-029,2026-08-31 11:50:12,east,877.58
20260831-030,2026-08-31 16:29:35,west,656.40
20260831-031,2026-08-31 11:45:39,west,219.46
20260831-032,2026-08-31 15:20:08,east,296.51
20260831-033,2026-08-31 13:47:12,east,121.69
20260831-034,2026-08-31 17:49:10,north,657.17
20260831-035,2026-08-31 09:46:27,south,811.21
20260831-036,2026-08-31 14:56:19,south,137.90
20260831-037,2026-08-31 19:19:34,south,407.11
20260831-038,2026-08-31 12:47:52,north,873.76
20260831-039,2026-08-31 17:52:57,east,36.16
20260831-040,2026-08-31 11:27:52,east,"1,500.50"
20260831-041,2026-08-31 08:52:28,west,203.98
20260831-042,2026-08-31 11:13:20,east,673.36
20260831-043,2026-08-31 13:07:49,south,285.69
20260831-044,2026-08-31 11:56:39,west,67.33
20260831-045,2026-08-31 15:59:41,east,844.39
20260831-046,2026-08-31 14:02:04,west,627.04
20260831-047,2026-08-31 15:53:00,north,150.54
20260831-048,2026-08-31 12:48:18,east,266.99
20260831-049,2026-08-31 11:37:19,west,845.39
20260831-050,2026-08-31 11:15:38,south,849.60
20260831-051,2026-08-31 16:49:20,north,"9,999.01"
