id,ts,region,amount
20260830-000,2026-08-30 12:39:01,south,514.43
20260830-001,2026-08-30 08:25:24,south,928.20
20260830-002,2026-08-30 15:00:33,south,939.43
20260830-003,2026-08-30 10:58:53,west,29.43
20260830-004,2026-08-30 18:22:34,north,923.70
20260830-005,2026-08-30 11:51:36,east,384.33
20260830-006,2026-08-30 17:06:43,east,726.05
20260830-007,2026-08-30 09:39:31,east,608.59
20260830-008,2026-08-30 12:56:19,east,127.23
20260830-009,2026-08-30 10:15:44,east,484.11
20260830-010,2026-08-30 08:26:58,east,117.00
20260830-011,2026-08-30 18:11:30,east,174.24
20260830-012,2026-08-30 18:21:33,east,489.88
20260830-013,2026-08-30 18:06:30,west,69.50
20260830-014,2026-08-30 15:16:37,east,252.15
20260830-015,2026-08-30 18:10:43,south,850.17
20260830-016,2026-08-30 16:18:26,south,787.47
20260830-017,2026-08-30 15:23:59,west,888.33
20260830-018,2026-08-30 17:19:32,west,854.07
20260830-019,2026-08-30 14:19:51,west,630.09
20260830-020,2026-08-30 16:08:46,south,357.69
20260830-021,2026-08-30 16:59:20,north,909.05
20260830-022,2026-08-30 09:49:21,north,656.37
20260830-023,2026-08-30 12:54:25,north,554.57
20260830-024,2026-08-30 18:00:09,west,669.95
20260830-025,2026-08-30 13:16:28,south,583.21
20260830-026,2026-08-30 14:33:04,east,131.02
20260830-027,2026-08-30 11:26:36,west,795.71
20260830-028,2026-08-30 14:04:24,south,8.05
20260830-029,2026-08-30 12:49:56,north,722.12
20260830-030,2026-08-30 13:00:30,west,857.67
20260830-031,2026-08-30 13:31:48,west,619.65
20260830-032,2026-08-30 10:07:15,east,547.56
20260830-033,2026-08-30 09:12:12,west,462.44
20260830-034,2026-08-30 09:25:07,south,703.58
