id,ts,region,amount
20260902-000,2026-09-02 18:40:25,west,936.18
20260902-001,2026-09-02 10:43:41,south,67.36
20260902-002,2026-09-02 10:32:19,east,949.92
20260902-003,2026-09-02 18:56:29,east,570.46
20260902-004,2026-09-02 18:10:10,east,763.93
20260902-005,2026-09-02 14:17:21,south,928.70
20260902-006,2026-09-02 12:11:02,north,414.34
20260902-007,2026-09-02 10:43:29,west,436.19
20260902-008,2026-09-02 17:09:36,south,285.35
20260902-009,2026-09-02 18:12:25,west,343.34
20260902-010,2026-09-02 09:53:35,east,255.52
20260902-011,2026-09-02 18:56:05,south,25.58
20260902-012,2026-09-02 15:24:12,east,625.72
20260902-013,2026-09-02 15:14:33,east,498.49
20260902-014,2026-09-02 12:03:43,east,687.00
20260902-015,2026-09-02 12:58:54,east,37.69
20260902-016,2026-09-02 12:13:41,north,665.95
20260902-017,2026-09-02 10:57:54,west,95.71
20260902-018,2026-09-02 16:26:08,north,535.50
20260902-019,2026-09-02 18:45:04,south,638.17
20260902-020,2026-09-02 16:24:54,north,576.10
20260902-021,2026-09-02 08:52:40,south,935.57
20260902-022,2026-09-02 13:14:44,east,908.87
20260902-023,2026-09-02 10:43:26,west,209.02
20260902-024,2026-09-02 08:12:02,west,422.81
20260902-025,2026-09-02 09:59:22,north,915.71
20260902-026,2026-09-02 18:19:44,south,777.06
20260902-027,2026-09-02 15:33:04,west,690.43
20260902-028,2026-09-02 11:01:48,west,15.94
20260902-029,2026-09-02 14:11:14,south,934.90
20260902-030,2026-09-02 08:50:18,west,105.59
20260902-031,2026-09-02 17:03:50,east,486.78
20260902-032,2026-09-02 14:28:22,south,599.21
20260902-033,2026-09-02 15:14:36,north,132.08
20260902-034,2026-09-02 16:59:23,west,237.95
20260902-035,2026-09-02 13:56:19,west,751.59
20260902-036,2026-09-02 08:05:56,south,706.15
20260902-037,2026-09-02 18:44:43,west,736.51
20260902-038,2026-09-02 10:24:55,east,677.65
20260902-039,2026-09-02 17:02:40,east,141.30
