id,ts,region,amount
20260903-000,2026-09-03 18:05:18,west,44.81
20260903-001,2026-09-03 11:12:25,west,179.33
20260903-002,2026-09-03 11:16:29,east,82.44
20260903-003,2026-09-03 13:47:31,east,109.58
20260903-004,2026-09-03 08:56:54,east,285.27
20260903-005,2026-09-03 14:30:11,North,77.60
20260903-006,2026-09-03 10:48:22,south,726.09
20260903-007,2026-09-03 19:27:57,east,405.90
20260903-008,2026-09-03 10:02:57,west,231.21
20260903-009,2026-09-03 12:19:27,west,652.92
20260903-010,2026-09-03 10:52:00,north,83.24
20260903-011,2026-09-03 12:34:01,north,351.05
20260903-012,2026-09-03 09:43:41,west ,518.43
20260903-013,2026-09-03 15:52:46,east,701.10
20260903-014,2026-09-03 14:34:30,east,711.75
20260903-015,2026-09-03 18:46:29,east,609.91
20260903-016,2026-09-03 19:31:47,south,888.79
20260903-017,2026-09-03 11:02:06,south,905.53
20260903-018,2026-09-03 17:16:03,north,547.87
20260903-019,2026-09-03 09:15:30,north,269.20
20260903-020,2026-09-03 10:04:26,north,155.65
20260903-021,2026-09-03 18:07:58,north,777.58
20260903-022,2026-09-03 12:18:10,east,596.84
20260903-023,2026-09-03 12:58:16,west,642.90
20260903-024,2026-09-03 09:23:14,east,310.20
20260903-025,2026-09-03 17:58:56,east,45.26
20260903-026,2026-09-03 17:32:56,south,482.23
20260903-027,2026-09-03 08:01:56,east,512.15
20260903-028,2026-09-03 09:31:55,north,333.47
20260903-029,2026-09-03 18:42:40,north,85.46
20260903-030,2026-09-03 16:17:06,North,85.88
20260903-031,2026-09-03 08:42:34,south,114.35
20260903-032,2026-09-03 18:56:32,east,131.91
20260903-033,2026-09-03 12:49:32,south,164.65
20260903-034,2026-09-03 14:05:18,north,17.63
20260903-035,2026-09-03 11:54:02,north,140.23
20260903-036,2026-09-03 10:39:57,south,637.74
20260903-037,2026-09-03 17:58:21,south,693.80
20260903-038,2026-09-03 10:49:17,north,934.83
20260903-039,2026-09-03 12:12:01,west,169.29
20260903-040,2026-09-03 09:24:24,west,311.74
