id,ts,region,amount
20260823-000,2026-08-23 11:10:55,north,322.86
20260823-001,2026-08-23 16:49:51,east,717.02
20260823-002,2026-08-23 13:36:37,North ,"1,100.00"
20260823-003,2026-08-23 17:41:43,north,668.13
20260823-004,2026-08-23 14:13:55,east,249.86
20260823-005,2026-08-23 11:45:10,north,933.43
20260823-006,2026-08-23 17:10:58,north,55.92
20260823-007,2026-08-23 12:52:18,north,904.56
20260823-008,2026-08-23 15:36:33,east,518.66
20260823-009,2026-08-23 09:17:06,east,644.58
20260823-010,2026-08-23 18:55:40,east,467.06
20260823-011,2026-08-23 15:51:33,east ,203.94
20260823-012,2026-08-23 18:43:20,south,166.21
20260823-013,2026-08-23 17:45:23,west,144.60
20260823-014,2026-08-23 16:45:10,south,849.78
20260823-015,2026-08-23 13:10:55,west,343.44
20260823-016,2026-08-23 13:46:49,south,235.58
20260823-017,2026-08-23 19:24:30,south,543.70
20260823-018,2026-08-23 15:24:10,west,404.13
20260823-019,2026-08-23 18:11:22,north,558.84
20260823-020,2026-08-23 10:05:13,south,146.56
20260823-021,2026-08-23 13:11:46,north,85.62
20260823-022,2026-08-23 09:02:36,south,797.42
20260823-023,2026-08-23 09:41:57,north,806.36
20260823-024,2026-08-23 16:11:01,south,766.79
20260823-025,2026-08-23 09:09:49,south,677.62
20260823-026,2026-08-23 17:30:41,east,118.68
20260823-027,2026-08-23 11:25:13,north,487.35
20260823-028,2026-08-23 09:53:04,east,708.33
20260823-029,2026-08-23 19:31:10,north,797.67
20260823-030,2026-08-23 16:46:45,west,523.17
20260823-031,2026-08-23 08:49:04,north,885.25
20260823-032,2026-08-23 14:58:35,south,120.00
20260823-033,2026-08-23 14:58:53,south,381.02
20260823-034,2026-08-23 15:19:21,east,509.51
20260823-035,2026-08-23 16:20:13,south,367.40
20260823-036,2026-08-23 15:56:59,east,712.04
20260823-037,2026-08-23 19:30:49,west,24.02
20260823-038,2026-08-23 12:46:21,east,845.25
20260823-039,2026-08-23 15:39:45,east,864.98
20260823-040,2026-08-23 13:52:02,north,217.89
20260823-041,2026-08-23 14:34:44,west,282.60
20260823-042,2026-08-23 15:45:07,south,628.35
20260823-043,2026-08-23 14:46:11,east,264.08
20260823-044,2026-08-23 14:52:08,south,"2,750.75"
20260823-045,2026-08-23 17:34:55,north,496.61
20260823-046,2026-08-23 15:19:41,south,221.09
