id,ts,region,amount
20260821-000,2026-08-21 15:19:48,east,"12,000.00"
20260821-001,2026-08-21 09:50:06,west,894.13
20260821-002,2026-08-21 18:57:59,east,609.26
20260821-003,2026-08-21 13:28:21,east,259.71
20260821-004,2026-08-21 13:45:17,north,188.68
20260821-005,2026-08-21 14:26:43,north,944.91
20260821-006,2026-08-21 08:06:33,west,941.47
20260821-007,2026-08-21 08:30:56,south,474.34
20260821-008,2026-08-21 12:55:36,west,"1,000.00"
20260821-009,2026-08-21 19:30:05,north,533.69
20260821-010,2026-08-21 14:42:10,south,604.23
20260821-011,2026-08-21 11:36:38,east,802.92
20260821-012,2026-08-21 12:42:11,north,158.76
20260821-013,2026-08-21 11:11:38,east,326.59
20260821-014,2026-08-21 12:07:51,north,685.69
20260821-015,2026-08-21 18:19:57,east,789.31
20260821-016,2026-08-21 16:20:02,east,617.24
20260821-017,2026-08-21 19:29:15,south,932.97
20260821-018,2026-08-21 13:31:03,east,796.18
20260821-019,2026-08-21 15:27:19,east,569.36
20260821-020,2026-08-21 13:17:44,east,429.65
20260821-021,2026-08-21 11:28:13,east,"3,499.99"
20260821-022,2026-08-21 11:38:09,east,230.40
20260821-023,2026-08-21 12:22:28,north,783.49
20260821-024,2026-08-21 19:20:26,north,337.21
20260821-025,2026-08-21 15:53:06,north,114.78
20260821-026,2026-08-21 17:41:40,east,632.17
20260821-027,2026-08-21 13:39:42,west,359.08
20260821-028,2026-08-21 08:19:48,east,95.48
20260821-029,2026-08-21 19:39:31,east,468.93
20260821-030,2026-08-21 12:30:56,east,804.63
20260821-031,2026-08-21 13:56:26,east,533.43
20260821-032,2026-08-21 09:12:42,west,580.76
20260821-033,2026-08-21 17:38:13,south,373.67
20260821-034,2026-08-21 14:38:26,south,219.70
20260821-035,2026-08-21 10:24:11,west,528.03
20260821-036,2026-08-21 15:43:10,west,136.87
20260821-037,2026-08-21 16:35:34,west,398.00
20260821-038,2026-08-21 09:40:52,east,99.68
20260821-039,2026-08-21 14:30:57,east,368.46
20260821-040,2026-08-21 08:43:21,north,"1,500.50"
20260821-041,2026-08-21 13:50:24,west,13.09
20260821-042,2026-08-21 11:21:31,south,343.02
20260821-043,2026-08-21 12:31:43,south,550.54
20260821-044,2026-08-21 10:02:27,west,37.36
20260821-045,2026-08-21 15:58:48,west,485.26
20260821-046,2026-08-21 17:50:15,north,760.11
20260821-047,2026-08-21 09:02:47,east,758.36
20260821-048,2026-08-21 17:55:13,south,342.60
20260821-049,2026-08-21 12:15:26,north,675.82
20260821-050,2026-08-21 09:41:18,west,864.60
20260821-051,2026-08-21 08:25:53,east,"9,999.01"
