id,ts,region,amount
20260908-000,2026-09-08 14:11:48,north,615.97
20260908-001,2026-09-08 18:22:45,west,300.04
20260908-002,2026-09-08 18:09:35,east,863.00
20260908-003,2026-09-08 10:51:09,west,765.91
20260908-004,2026-09-08 15:10:09,south,809.35
20260908-005,2026-09-08 17:44:47,south,854.99
20260908-006,2026-09-08 12:31:55,north,273.42
20260908-007,2026-09-08 18:28:52,south,718.04
20260908-008,2026-09-08 13:13:07,south,236.68
20260908-009,2026-09-08 10:36:09,west,311.66
20260908-010,2026-09-08 18:32:57,east,458.12
20260908-011,2026-09-08 11:42:06,north,310.71
20260908-012,2026-09-08 18:53:07,south,707.23
20260908-013,2026-09-08 08:50:12,west,571.19
20260908-014,2026-09-08 19:32:03,east,784.56
20260908-015,2026-09-08 09:25:03,south,459.76
20260908-016,2026-09-08 18:46:26,north,641.62
20260908-017,2026-09-08 09:37:36,east,474.69
20260908-018,2026-09-08 11:27:36,east,141.22
20260908-019,2026-09-08 11:20:48,north,243.56
20260908-020,2026-09-08 08:19:33,west,666.73
20260908-021,2026-09-08 14:47:00,west,601.82
20260908-022,2026-09-08 09:26:59,south,215.70
20260908-023,2026-09-08 11:55:39,north,393.44
20260908-024,2026-09-08 19:48:30,south,145.93
20260908-025,2026-09-08 11:33:25,south,79.02
20260908-026,2026-09-08 11:26:17,west,797.19
20260908-027,2026-09-08 19:05:17,west,93.86
20260908-028,2026-09-08 12:59:49,south,19.02
20260908-029,2026-09-08 09:13:32,west,753.66
20260908-030,2026-09-08 17:20:55,north,107.00
20260908-031,2026-09-08 09:14:36,east,207.67
20260908-032,2026-09-08 08:11:58,west,514.48
20260908-033,2026-09-08 16:27:13,east,882.76
20260908-034,2026-09-08 15:02:34,north,651.55
20260908-035,2026-09-08 19:24:22,north,392.94
20260908-036,2026-09-08 11:43:39,north,442.83
20260908-037,2026-09-08 15:41:00,west,795.14
20260908-038,2026-09-08 13:58:48,north,385.83
20260908-039,2026-09-08 14:56:51,north,794.94
20260908-040,2026-09-08 10:50:19,west,932.80
20260908-041,2026-09-08 16:20:45,west,444.97
20260908-042,2026-09-08 09:38:56,north,420.57
20260908-043,2026-09-08 11:37:45,east,465.91
