id,ts,region,amount
20260830-000,2026-08-30T11:17:52,east,104.90
20260830-001,2026-08-30T18:46:01,south,423.05
20260830-002,2026-08-30T09:40:58,east,806.54
20260830-003,2026-08-30T19:07:28,east,394.79
20260830-004,2026-08-30T12:29:35,east,889.40
20260830-005,2026-08-30T11:35:40,west,672.01
20260830-006,2026-08-30T17:39:05,north,901.19
20260830-007,2026-08-30T18:35:45,east,157.48
20260830-008,2026-08-30T19:43:16,north,929.24
20260830-009,2026-08-30T15:33:24,south,170.49
20260830-010,2026-08-30T10:08:17,north,266.51
20260830-011,2026-08-30T08:34:53,north,659.02
20260830-012,2026-08-30T15:58:36,east,783.84
20260830-013,2026-08-30T16:18:45,south,891.24
20260830-014,2026-08-30T12:38:18,west,568.68
20260830-015,2026-08-30T09:22:00,east,262.00
20260830-016,2026-08-30T11:30:53,east,202.29
20260830-017,2026-08-30T12:08:24,north,626.27
20260830-018,2026-08-30T17:40:11,south,728.00
20260830-019,2026-08-30T13:15:30,south,147.59
20260830-020,2026-08-30T12:11:56,north,764.95
20260830-021,2026-08-30T11:47:21,north,514.42
20260830-022,2026-08-30T19:22:35,west,650.71
20260830-023,2026-08-30T08:22:38,south,74.15
20260830-024,2026-08-30T12:29:58,east,731.26
20260830-025,2026-08-30T14:59:25,north,277.74
20260830-026,2026-08-30T08:36:07,south,612.40
20260830-027,2026-08-30T16:58:26,north,28.19
20260830-028,2026-08-30T19:48:51,north,707.69
20260830-029,2026-08-30T15:02:23,east,555.45
20260830-030,2026-08-30T12:28:27,west,434.63
20260830-031,2026-08-30T14:17:14,east,540.90
20260830-032,2026-08-30T08:41:39,east,354.76
