id,ts,region,amount
20260827-000,2026-08-27 19:17:18,south,617.83
20260827-001,2026-08-27 12:52:34,east,74.88
20260827-002,2026-08-27 14:11:15,south,244.00
20260827-003,2026-08-27 09:46:58,north,469.16
20260827-004,2026-08-27 14:49:26,north,582.20
20260827-005,2026-08-27 13:00:54,west,626.36
20260827-006,2026-08-27 17:21:39,south,244.03
20260827-007,2026-08-27 16:09:06,west,670.51
20260827-008,2026-08-27 19:50:59,north,715.59
20260827-009,2026-08-27 16:05:10,west,737.99
20260827-010,2026-08-27 12:34:03,south,673.62
20260827-011,2026-08-27 18:00:28,south,926.83
20260827-012,2026-08-27 17:36:26,north,332.31
20260827-013,2026-08-27 15:55:52,west,295.98
20260827-014,2026-08-27 13:10:50,east,338.31
20260827-015,2026-08-27 13:56:33,north,172.93
20260827-016,2026-08-27 10:13:48,west,493.90
20260827-017,2026-08-27 13:21:48,north,530.15
20260827-018,2026-08-27 18:07:19,east,376.46
20260827-019,2026-08-27 19:44:05,east,757.51
20260827-020,2026-08-27 12:32:07,north,436.47
20260827-021,2026-08-27 11:56:49,west,862.06
20260827-022,2026-08-27 18:07:00,north,528.79
20260827-023,2026-08-27 11:18:44,north,357.38
20260827-024,2026-08-27 14:26:47,west,35.35
20260827-025,2026-08-27 10:57:54,east,701.05
20260827-026,2026-08-27 17:12:14,west,706.32
20260827-027,2026-08-27 19:21:53,west,186.27
20260827-028,2026-08-27 09:22:02,south,785.86
20260827-029,2026-08-27 09:18:14,south,64.11
20260827-030,2026-08-27 17:52:30,north,902.68
20260827-031,2026-08-27 13:54:17,north,224.68
20260827-032,2026-08-27 10:19:34,west,627.76
20260827-033,2026-08-27 14:51:19,south,207.09
