id,ts,region,amount
20260906-000,2026-09-06 09:31:48,east,754.71
20260906-001,2026-09-06 10:42:37,west,39.80
20260906-002,2026-09-06 19:23:20,north,917.41
20260906-003,2026-09-06 11:46:55,west,262.70
20260906-004,2026-09-06 16:43:06,south,865.49
20260906-005,2026-09-06 19:51:46,east,537.43
20260906-006,2026-09-06 17:43:05,west,631.44
20260906-007,2026-09-06 09:23:51,west,322.13
20260906-008,2026-09-06 15:44:06,south,765.52
20260906-009,2026-09-06 12:06:02,south,667.21
20260906-010,2026-09-06 13:31:59,south,787.37
20260906-011,2026-09-06 18:44:57,north,491.35
20260906-012,2026-09-06 11:38:27,east,603.64
20260906-013,2026-09-06 09:05:32,south,342.72
20260906-014,2026-09-06 18:17:19,south,115.40
20260906-015,2026-09-06 11:08:38,south,363.92
20260906-016,2026-09-06 19:33:00,south,793.13
20260906-017,2026-09-06 08:41:21,east,740.26
20260906-018,2026-09-06 16:24:18,south,359.03
20260906-019,2026-09-06 15:03:11,west,646.40
20260906-020,2026-09-06 14:06:28,south,566.26
20260906-021,2026-09-06 09:57:38,west,766.35
20260906-022,2026-09-06 14:50:04,west,427.60
20260906-023,2026-09-06 19:52:26,north,450.03
20260906-024,2026-09-06 18:17:28,west,186.58
20260906-025,2026-09-06 10:01:01,north,687.88
20260906-026,2026-09-06 13:12:16,west,242.32
20260906-027,2026-09-06 16:16:26,west,316.32
20260906-028,2026-09-06 12:38:30,west,583.51
20260906-029,2026-09-06 19:24:31,east,469.96
20260906-030,2026-09-06 15:20:23,south,604.57
20260906-031,2026-09-06 17:24:44,east,922.37
20260906-032,2026-09-06 14:31:46,south,307.51
20260906-033,2026-09-06 12:35:00,west,890.10
20260906-034,2026-09-06 10:01:39,north,916.60
20260906-035,2026-09-06 13:23:31,north,649.58
20260906-036,2026-09-06 10:17:39,north,873.71
20260906-037,2026-09-06 16:31:04,west,403.90
