id,ts,region,amount
20260825-000,2026-08-25 14:42:21,west,548.86
20260825-001,2026-08-25 13:53:56,east,368.35
20260825-002,2026-08-25 13:22:57,south,494.76
20260825-003,2026-08-25 15:25:28,west,435.31
20260825-004,2026-08-25 09:11:39,west,885.27
20260825-005,2026-08-25 13:04:27,north,677.08
20260825-006,2026-08-25 13:32:36,south,307.93
20260825-007,2026-08-25 13:02:32,north,173.01
20260825-008,2026-08-25 19:28:55,west,15.42
20260825-009,2026-08-25 13:11:36,east,686.04
20260825-010,2026-08-25 09:02:07,west,226.86
20260825-011,2026-08-25 14:15:57,north,327.19
20260825-012,2026-08-25 11:42:00,south,402.53
20260825-013,2026-08-25 19:47:13,north,120.02
20260825-014,2026-08-25 10:20:07,west,874.10
20260825-015,2026-08-25 13:16:47,east,370.86
20260825-016,2026-08-25 14:16:54,north,595.96
20260825-017,2026-08-25 16:36:13,west,673.79
20260825-018,2026-08-25 16:05:20,west,355.76
20260825-019,2026-08-25 13:36:55,east,144.84
20260825-020,2026-08-25 15:02:57,west,698.27
20260825-021,2026-08-25 16:17:22,north,914.83
20260825-022,2026-08-25 12:51:36,south,517.47
20260825-023,2026-08-25 16:09:26,south,66.08
20260825-024,2026-08-25 08:54:14,west,684.41
20260825-025,2026-08-25 11:10:30,north,361.25
20260825-026,2026-08-25 12:58:30,east,943.36
20260825-027,2026-08-25 08:22:24,south,314.54
20260825-028,2026-08-25 11:35:03,west,488.51
20260825-029,2026-08-25 19:16:49,west,72.23
20260825-030,2026-08-25 12:37:30,west,895.24
20260825-031,2026-08-25 14:43:02,north,40.67
20260825-032,2026-08-25 14:07:29,west,719.66
20260825-033,2026-08-25 14:06:36,east,778.41
