id,ts,region,amount
20260826-000,2026-08-26 13:20:11,south,54.58
20260826-001,2026-08-26 19:17:32,west,418.41
20260826-002,2026-08-26 09:53:57,south,364.19
20260826-003,2026-08-26 19:45:07,north,574.81
20260826-004,2026-08-26 08:38:22,south,139.01
20260826-005,2026-08-26 15:11:16,west,144.81
20260826-006,2026-08-26 11:17:01,north,939.43
20260826-007,2026-08-26 12:28:58,west,631.78
20260826-008,2026-08-26 16:36:16,west,837.83
20260826-009,2026-08-26 10:22:35,north,676.88
20260826-010,2026-08-26 11:09:53,west,908.36
20260826-011,2026-08-26 17:09:16,north,232.35
20260826-012,2026-08-26 19:27:36,west,745.75
20260826-013,2026-08-26 19:54:39,west,726.53
20260826-014,2026-08-26 09:58:35,north,350.61
20260826-015,2026-08-26 15:02:30,west,92.19
20260826-016,2026-08-26 11:42:25,west,95.40
20260826-017,2026-08-26 10:27:15,west,154.71
20260826-018,2026-08-26 14:54:58,north,34.50
20260826-019,2026-08-26 08:43:55,east,230.75
20260826-020,2026-08-26 14:44:35,east,630.20
20260826-021,2026-08-26 13:33:49,south,948.67
20260826-022,2026-08-26 10:10:05,north,674.01
20260826-023,2026-08-26 09:59:58,south,843.47
20260826-024,2026-08-26 14:06:47,south,321.36
20260826-025,2026-08-26 17:14:59,west,782.04
20260826-026,2026-08-26 09:36:00,north,27.74
20260826-027,2026-08-26 19:03:09,east,211.27
20260826-028,2026-08-26 11:01:56,south,341.30
20260826-029,2026-08-26 15:09:01,south,829.60
20260826-030,2026-08-26 12:48:44,south,273.43
20260826-031,2026-08-26 10:18:56,east,305.49
20260826-032,2026-08-26 09:26:48,north,554.69
20260826-033,2026-08-26 10:39:25,east,792.96
20260826-034,2026-08-26 09:22:35,south,529.49
