age,income,debt_ratio,n_accounts,late_payments,employed,default
27,19191.0,0.403,0,2,1,1
27,69545.0,0.276,9,2,1,0
60,22772.0,0.406,3,0,1,0
45,78360.0,0.425,4,1,0,0
49,38937.0,0.577,11,3,1,1
50,37307.0,0.101,7,2,0,0
55,44483.0,0.49,8,0,0,0
22,46684.0,0.235,7,1,0,0
44,59973.0,0.41,4,1,0,0
28,70711.0,0.132,0,3,0,0
40,25000.0,0.544,5,1,1,1
66,15914.0,0.216,9,1,0,0
47,7818.0,0.616,10,0,1,1
24,24499.0,0.447,6,0,1,0
47,43483.0,0.043,9,0,0,0
27,35925.0,0.245,5,0,0,0
57,31495.0,0.245,4,0,1,0
67,24957.0,0.193,2,1,0,0
68,21590.0,0.074,7,0,0,0
51,25801.0,0.181,6,1,1,0
63,36116.0,0.55,2,0,0,0
39,12304.0,0.115,10,0,0,0
28,42807.0,0.397,9,2,0,1
46,14339.0,0.672,0,0,1,1
42,27471.0,0.559,11,0,1,0
53,21650.0,0.206,7,0,0,0
69,24717.0,0.367,4,0,0,0
34,17608.0,0.443,5,0,1,0
62,16683.0,0.186,7,1,1,0
27,26458.0,0.582,2,0,0,1
38,17257.0,0.089,8,1,0,0
59,101482.0,0.366,3,0,1,0
33,24088.0,0.32,0,0,0,0
53,21358.0,0.282,0,0,0,0
43,22523.0,0.604,5,1,0,1
46,17346.0,0.476,8,0,0,1
67,8679.0,0.487,0,0,0,1
61,26075.0,0.307,9,1,0,0
62,34608.0,0.182,8,0,1,0
47,13969.0,0.689,9,1,0,1
69,29710.0,0.333,0,1,1,0
69,16181.0,0.209,3,0,0,1
27,29101.0,0.099,4,1,0,0
31,35453.0,0.414,6,0,0,0
36,37760.0,0.222,11,0,1,0
48,36820.0,0.105,7,0,1,0
61,20828.0,0.619,10,0,0,1
44,45989.0,0.494,3,1,1,0
69,23671.0,0.135,6,1,0,0
38,35276.0,0.394,8,2,1,1
66,42118.0,0.313,9,1,0,0
