event_id,user_id,amount,channel
1,3407,116.58,web
2,716,65.54,web
3,106,286.57,app
4,2560,21.22,web
5,1462,186.96,app
6,1869,116.64,web
7,320,19.12,web
8,1482,15.57,app
9,2574,91.57,web
10,1420,91.14,web
11,3324,97.91,app
12,3162,124.72,pos
13,2818,297.99,web
14,3620,94.37,app
15,2885,87.37,app
16,710,91.7,web
17,3433,49.32,web
18,2611,110.53,web
19,394,38.16,web
20,1193,95.63,app
21,663,47.41,app
22,3867,3.98,pos
23,2912,105.83,pos
24,3679,84.11,app
25,1130,31.51,web
26,2543,85.55,web
27,2417,32.53,pos
28,3011,132.1,web
29,472,90.81,web
30,2061,64.53,web
31,2578,38.18,app
32,3303,153.04,web
33,2624,22.9,app
34,1794,74.96,pos
35,1841,181.01,pos
36,1355,35.59,web
37,629,159.82,web
38,1112,43.49,web
39,585,18.81,app
40,906,39.83,web
41,3415,118.83,app
42,2103,264.46,web
43,367,145.7,app
44,1724,70.59,pos
45,1083,40.36,web
46,2653,183.91,web
47,3321,173.26,app
48,52,62.32,app
49,1863,196.99,web
50,1791,50.63,app
51,3962,75.1,web
52,1461,54.32,app
53,661,45.6,web
54,782,41.85,web
55,1910,47.69,app
56,2379,17.16,app
57,1306,117.51,web
58,1741,86.94,app
59,2653,179.63,app
60,1200,134.41,web
61,3858,95.35,pos
62,838,108.37,web
63,3741,129.94,app
64,3498,116.64,app
65,3827,165.13,web
66,3190,44.85,app
67,2115,82.64,pos
68,2427,88.01,app
69,827,50.62,web
70,1381,60.25,pos
71,1853,59.03,web
72,3787,37.26,app
73,3179,105.1,web
74,2253,72.09,app
75,2380,123.55,web
76,1731,164.27,app
77,1678,75.39,pos
78,3601,163.07,web
79,17,54.95,web
80,1278,22.83,web
81,1634,79.54,web
82,2784,47.1,pos
83,1648,128.43,web
84,1255,40.56,app
85,314,69.21,web
86,1046,48.16,web
87,423,46.13,web
88,2803,59.27,pos
89,1711,145.69,app
90,912,84.77,web
91,2160,39.27,app
92,1972,177.88,web
93,1891,48.96,app
94,2320,79.7,web
95,2506,81.17,web
96,756,44.8,app
97,620,8.02,web
98,2925,112.1,web
99,3890,23.33,pos
100,2194,287.92,web
101,1803,168.98,app
102,2486,264.05,app
103,139,33.33,app
104,1489,199.03,pos
105,1435,98.2,web
106,1681,42.85,web
107,2976,66.08,web
108,1979,24.64,app
109,3423,34.84,web
110,1880,76.72,app
111,136,192.96,pos
112,2702,157.24,web
113,3192,101.94,web
114,2309,236.7,web
115,3750,66.51,pos
116,1665,66.93,app
117,3188,44.04,web
118,8,106.93,web
119,156,150.01,web
120,3176,10.37,app
121,3493,16.67,web
122,2078,127.63,app
123,3011,67.22,web
124,1306,15.45,web
125,2908,181.32,app
126,2000,93.12,web
127,1215,90.51,pos
128,374,141.09,web
129,699,76.4,web
130,3618,69.45,app
131,1775,102.56,app
132,3958,57.31,app
133,1412,78.79,web
134,235,38.0,web
135,1025,105.65,app
136,1433,149.75,app
137,2804,119.13,web
138,2920,66.92,web
139,2948,64.81,web
140,1257,113.18,web
141,1520,77.63,pos
142,2268,80.27,app
143,2425,110.26,web
144,1666,104.07,pos
145,761,58.62,web
146,3097,213.12,web
147,2083,22.61,web
148,3833,53.9,app
149,3784,128.37,pos
150,3553,76.35,web
151,3843,64.11,app
152,2484,248.62,app
153,1193,22.14,web
154,641,50.44,web
155,421,39.07,web
156,3788,105.77,web
157,1082,96.06,app
158,95,84.05,web
159,151,88.8,web
160,1191,46.71,pos
161,3917,133.83,app
162,1127,107.77,web
163,409,154.86,web
164,2687,45.18,web
165,239,84.92,web
166,1949,31.23,web
167,345,130.73,web
168,372,41.66,web
169,1441,67.6,app
170,52,18.11,web
171,3402,222.09,app
172,2417,18.67,web
173,3733,30.11,app
174,1966,93.94,web
175,2224,193.25,web
176,2405,149.02,web
177,1864,42.02,web
178,2256,56.76,app
179,2290,123.69,web
180,3561,14.43,pos
181,1214,192.69,pos
182,3673,89.68,app
183,690,106.62,app
184,753,238.61,web
185,1020,83.15,pos
186,3768,70.17,pos
187,979,3.46,web
188,3151,134.26,app
189,2332,50.15,web
190,2556,12.4,web
191,311,81.25,app
192,2638,110.69,web
193,278,363.09,web
194,2184,24.7,app
195,3148,206.99,web
196,3669,51.75,app
197,3958,186.98,web
198,933,131.54,pos
199,3070,20.13,web
200,2397,68.24,app
201,2934,101.08,web
202,3257,35.15,app
203,1897,208.28,app
204,539,51.2,app
205,3155,72.17,web
206,2462,30.45,app
207,535,88.97,web
208,1611,54.86,web
209,581,68.22,app
210,3064,111.99,app
211,1339,139.8,web
212,271,105.84,web
213,1138,77.32,app
214,2427,70.9,app
215,2365,28.39,web
216,3428,81.18,web
217,1444,49.27,app
218,2513,50.08,pos
219,3779,144.5,pos
220,1286,254.78,web
221,122,39.42,web
222,2623,24.11,pos
223,2402,65.31,app
224,1353,89.08,web
225,2251,71.88,pos
226,2674,219.99,app
227,3273,60.98,app
228,514,32.76,pos
229,1885,12.42,app
230,1120,63.69,web
231,1336,100.8,web
232,131,23.73,web
233,1688,109.13,web
234,336,75.37,app
235,3705,28.48,app
236,2219,45.86,web
237,1685,88.07,app
238,927,77.58,app
239,3756,63.3,web
240,2064,56.27,app
241,3943,139.07,app
242,2638,93.73,web
243,3973,88.77,app
244,3524,73.36,app
245,2969,40.84,web
246,1420,36.48,web
247,3110,90.89,app
248,1275,64.64,web
249,3437,207.88,app
250,1255,311.69,web
251,310,36.55,web
252,472,139.62,web
253,1817,321.68,app
254,2653,141.63,pos
255,1158,36.38,app
256,3278,121.56,app
257,1023,219.13,app
258,1892,157.13,app
259,1344,114.45,web
260,2233,33.56,pos
261,756,51.93,pos
262,3833,34.05,web
263,3702,61.02,app
264,2795,149.49,web
265,2123,47.2,web
266,2980,116.86,web
267,1875,149.12,web
268,3558,23.98,pos
269,266,117.76,web
270,863,103.6,app
271,1826,35.82,web
272,2601,103.74,web
273,2828,173.39,web
274,2869,26.12,web
275,3761,7.4,web
276,3369,14.7,app
277,3662,371.64,web
278,1375,12.89,web
279,2782,66.22,web
280,2755,173.79,web
281,2419,72.07,web
282,2417,68.24,web
283,2100,69.04,app
284,1638,66.53,pos
285,548,50.61,pos
286,407,49.83,pos
287,11,52.07,app
288,1412,117.81,app
289,1489,138.26,web
290,3853,80.42,pos
291,970,25.81,web
292,866,69.49,app
293,178,189.54,web
294,455,42.31,app
295,2630,114.4,pos
296,1471,109.12,app
297,2477,51.57,pos
298,404,12.91,pos
299,3051,30.06,web
300,1069,81.37,app
301,237,112.68,web
302,3657,59.93,web
303,1438,62.11,web
304,1275,56.7,app
305,192,16.48,app
306,2343,19.52,app
307,1117,51.34,web
308,955,34.55,web
