store_id,promo,price,temp_c,dow
29,0,3.8,12.5,6
13,1,2.45,25.1,1
10,0,4.61,6.4,3
39,0,4.83,17.2,1
7,0,5.42,16.9,5
13,0,2.49,23.1,3
26,1,7.01,17.4,6
31,0,4.23,12.9,5
25,1,3.97,19.9,5
34,0,8.24,6.0,6
2,0,6.21,21.5,0
16,0,6.61,9.6,3
23,1,5.72,7.7,1
18,0,3.51,12.1,3
16,1,3.06,15.4,0
15,1,3.29,20.7,6
2,1,4.38,13.3,5
5,1,3.19,20.9,4
22,0,5.34,22.8,6
19,0,8.77,14.2,5
38,0,7.18,7.1,3
10,1,4.18,22.4,3
34,0,4.15,17.2,0
11,1,7.47,-1.9,6
6,0,8.82,7.1,1
8,1,6.3,16.1,4
16,1,3.8,4.0,3
8,0,5.15,9.5,3
35,0,3.1,1.3,1
32,0,5.04,18.2,1
32,0,8.23,16.9,6
17,1,3.42,16.4,6
2,0,5.09,26.6,2
10,1,6.43,12.2,0
18,1,8.64,12.7,4
24,0,6.41,31.2,0
18,0,5.1,4.6,5
24,0,6.57,20.8,0
15,1,4.06,4.5,4
26,0,2.69,16.9,5
2,0,7.83,31.9,6
36,0,5.27,17.2,5
21,1,8.49,8.8,3
6,1,3.31,34.1,0
32,1,2.09,10.6,2
15,1,5.6,13.4,0
35,0,6.99,17.4,4
12,1,8.93,4.3,1
35,1,6.46,23.9,3
1,0,2.64,28.0,4
17,1,5.91,21.1,0
8,1,4.7,17.6,2
18,0,3.29,13.8,5
16,0,7.73,22.1,5
39,1,7.0,-10.2,1
16,1,7.66,14.0,6
30,1,6.27,17.0,6
25,0,6.88,-0.9,4
16,0,6.81,18.4,3
18,0,3.78,14.0,3
