store_id,promo,price,temp_c,dow,units
37,1,2.59,12.4,5,143.3
25,1,6.98,3.4,6,73.3
27,1,4.05,22.2,6,127.5
35,1,8.3,24.2,5,84.2
23,0,8.26,37.6,1,78.6
31,0,8.55,22.0,3,53.8
33,1,3.79,10.3,0,120.0
9,0,2.0,8.0,1,105.0
3,0,4.71,-12.6,1,69.2
12,0,8.74,10.2,4,51.2
12,1,7.35,13.6,2,83.7
35,0,2.42,22.7,5,118.5
36,0,6.92,19.9,4,61.7
1,0,8.42,19.7,6,60.6
20,1,8.77,16.7,0,80.2
33,0,7.01,20.3,1,66.3
6,1,8.04,26.6,5,99.6
32,1,7.89,6.5,0,62.8
5,0,4.51,11.3,1,75.1
19,0,2.69,3.9,4,89.2
32,0,7.09,27.9,2,72.1
12,1,2.96,25.4,5,140.3
14,1,4.69,21.0,0,116.8
11,1,8.97,5.4,0,63.7
29,0,5.92,16.4,6,84.2
10,1,5.65,13.1,4,99.0
39,0,8.64,15.6,1,42.8
18,0,3.99,13.5,1,85.4
19,0,9.0,19.2,1,62.5
20,0,8.38,11.8,6,38.7
23,0,4.55,21.8,2,93.2
22,1,4.29,16.9,2,126.5
20,1,2.89,12.7,6,133.6
39,0,8.41,14.1,0,46.4
32,0,3.3,11.5,5,100.9
31,0,2.06,21.5,5,125.8
28,0,8.23,12.8,0,59.3
25,1,6.19,17.4,2,94.7
14,0,6.7,11.9,6,73.4
39,1,7.13,3.1,2,81.3
19,1,2.3,22.2,5,150.5
9,0,2.64,6.5,0,108.5
33,0,5.5,20.4,5,85.0
7,0,2.35,18.4,2,103.7
34,1,5.53,1.8,1,96.3
24,1,7.15,7.4,0,93.7
5,1,6.6,10.9,5,98.1
2,0,6.32,8.4,1,68.1
18,1,2.32,5.5,4,141.8
2,1,3.66,20.9,4,120.7
6,0,8.28,13.1,2,57.2
21,0,2.86,18.1,2,103.9
38,0,5.73,11.6,0,75.1
19,1,2.35,17.4,4,137.1
32,1,8.57,9.0,3,79.9
36,0,3.2,14.8,6,98.8
33,1,4.87,19.7,1,111.3
25,1,5.83,15.4,4,92.4
18,0,7.03,11.3,0,65.2
21,0,8.56,6.3,0,41.0
11,1,7.15,16.3,3,92.6
20,1,4.43,17.8,6,113.7
15,0,2.53,12.9,4,104.1
10,1,6.95,8.8,1,92.2
39,1,8.81,19.3,6,78.7
1,0,2.12,34.9,2,131.5
4,0,7.42,12.6,2,62.8
8,0,3.23,17.7,3,101.4
38,1,5.22,18.0,6,103.5
