id,ts,region,amount
20260819-000,2026-08-19 17:49:54,central,484.22
20260819-001,2026-08-19 13:13:14,central,485.67
20260819-002,2026-08-19 14:35:30,central,138.00
20260819-003,2026-08-19 18:30:03,islands,233.55
20260819-004,2026-08-19 14:19:09,highlands,856.56
20260819-005,2026-08-19 14:03:53,highlands,552.85
20260819-006,2026-08-19 19:36:42,central,525.70
20260819-007,2026-08-19 15:19:22,islands,493.68
20260819-008,2026-08-19 15:11:39,islands,673.75
20260819-009,2026-08-19 16:30:21,highlands,778.90
20260819-010,2026-08-19 12:27:47,coastal,131.35
20260819-011,2026-08-19 15:49:06,highlands,395.71
20260819-012,2026-08-19 18:21:26,central,498.58
20260819-013,2026-08-19 09:52:45,highlands,174.65
20260819-014,2026-08-19 09:40:13,highlands,56.20
20260819-015,2026-08-19 19:17:07,coastal,597.76
20260819-016,2026-08-19 17:45:18,highlands,95.39
20260819-017,2026-08-19 14:27:01,coastal,522.68
20260819-018,2026-08-19 15:32:14,islands,875.05
20260819-019,2026-08-19 15:50:54,coastal,656.05
20260819-020,2026-08-19 08:37:48,central,621.58
20260819-021,2026-08-19 12:14:32,islands,729.03
20260819-022,2026-08-19 15:10:42,highlands,899.60
20260819-023,2026-08-19 11:31:08,islands,313.38
20260819-024,2026-08-19 10:38:55,central,221.61
20260819-025,2026-08-19 12:58:53,islands,408.42
20260819-026,2026-08-19 12:29:51,islands,279.95
20260819-027,2026-08-19 17:51:02,highlands,692.84
20260819-028,2026-08-19 13:17:27,coastal,891.62
20260819-029,2026-08-19 14:13:56,islands,696.68
20260819-030,2026-08-19 12:00:34,islands,168.54
20260819-031,2026-08-19 12:27:11,islands,522.76
20260819-032,2026-08-19 10:22:37,central,180.17
20260819-033,2026-08-19 15:17:02,islands,536.37
20260819-034,2026-08-19 18:24:42,central,29.90
20260819-035,2026-08-19 17:19:22,highlands,467.05
20260819-036,2026-08-19 12:43:57,highlands,557.07
20260819-037,2026-08-19 14:36:06,coastal,300.20
20260819-038,2026-08-19 11:50:06,islands,140.10
20260819-039,2026-08-19 15:20:57,islands,845.35
20260819-040,2026-08-19 18:01:21,islands,683.98
20260819-041,2026-08-19 18:37:09,highlands,212.09
20260819-042,2026-08-19 16:34:48,coastal,368.94
20260819-043,2026-08-19 12:01:15,coastal,417.87
20260819-044,2026-08-19 11:06:20,islands,726.48
20260819-045,2026-08-19 18:25:00,highlands,439.21
