id,ts,region,amount
20260426-000,2026-04-26 19:43:16,islands,59.51
20260426-001,2026-04-26 17:49:41,central,758.78
20260426-002,2026-04-26 08:36:29,highlands,693.80
20260426-003,2026-04-26 15:14:04,islands,796.81
20260426-004,2026-04-26 19:00:45,coastal,141.11
20260426-005,2026-04-26 17:27:13,central,801.93
20260426-006,2026-04-26 15:59:25,highlands,64.31
20260426-007,2026-04-26 11:02:42,highlands,844.05
20260426-008,2026-04-26 16:59:00,coastal,20.11
20260426-009,2026-04-26 13:48:38,coastal,63.85
20260426-010,2026-04-26 16:43:25,coastal,391.38
20260426-011,2026-04-26 14:25:12,central,513.66
20260426-012,2026-04-26 13:51:56,highlands,493.36
20260426-013,2026-04-26 10:59:08,islands,561.30
20260426-014,2026-04-26 11:43:58,coastal,442.28
20260426-015,2026-04-26 15:59:22,islands,153.83
20260426-016,2026-04-26 17:33:20,coastal,244.76
20260426-017,2026-04-26 13:29:54,islands,93.02
20260426-018,2026-04-26 08:27:41,coastal,63.48
20260426-019,2026-04-26 15:09:32,coastal,774.40
20260426-020,2026-04-26 18:40:23,highlands,410.70
20260426-021,2026-04-26 17:59:18,central,451.42
20260426-022,2026-04-26 08:28:57,islands,633.75
20260426-023,2026-04-26 11:49:02,coastal,731.05
20260426-024,2026-04-26 09:28:01,islands,850.87
20260426-025,2026-04-26 19:43:11,coastal,469.46
20260426-026,2026-04-26 19:45:29,central,323.02
20260426-027,2026-04-26 09:53:07,coastal,497.25
20260426-028,2026-04-26 13:55:26,coastal,448.14
20260426-029,2026-04-26 18:02:48,coastal,809.17
20260426-030,2026-04-26 19:05:09,islands,551.17
