id,ts,region,amount
20260525-000,2026-05-25 17:31:18,retail,105.32
20260525-001,2026-05-25 18:46:53,retail,261.74
20260525-002,2026-05-25 17:28:18,wholesale,611.74
20260525-003,2026-05-25 08:55:47,wholesale,114.92
20260525-004,2026-05-25 15:37:25,wholesale,286.71
20260525-005,2026-05-25 10:25:42,wholesale,669.48
20260525-006,2026-05-25 13:13:48,wholesale,589.32
20260525-007,2026-05-25 17:23:29,online,831.23
20260525-008,2026-05-25 15:25:23,wholesale,154.59
20260525-009,2026-05-25 18:20:57,retail,321.64
20260525-010,2026-05-25 16:26:38,partner,804.49
20260525-011,2026-05-25 15:19:17,partner,531.87
20260525-012,2026-05-25 10:22:53,online,87.32
20260525-013,2026-05-25 17:35:35,wholesale,346.01
20260525-014,2026-05-25 19:18:24,wholesale,520.05
20260525-015,2026-05-25 14:47:33,partner,878.66
20260525-016,2026-05-25 10:12:03,wholesale,768.46
20260525-017,2026-05-25 08:17:37,wholesale,846.18
20260525-018,2026-05-25 11:23:54,partner,883.40
20260525-019,2026-05-25 11:42:43,online,336.02
20260525-020,2026-05-25 18:08:15,partner,101.97
20260525-021,2026-05-25 09:47:25,partner,571.71
20260525-022,2026-05-25 15:47:24,partner,132.66
20260525-023,2026-05-25 12:05:27,online,808.50
20260525-024,2026-05-25 15:19:09,online,658.36
20260525-025,2026-05-25 08:21:07,retail,84.86
20260525-026,2026-05-25 10:58:00,online,267.04
20260525-027,2026-05-25 14:55:44,online,64.50
20260525-028,2026-05-25 13:41:55,wholesale,323.92
20260525-029,2026-05-25 14:50:15,online,572.13
20260525-030,2026-05-25 08:49:46,wholesale,554.68
20260525-031,2026-05-25 11:48:06,retail,98.26
20260525-032,2026-05-25 15:51:18,wholesale,147.67
