id,ts,region,amount
20260515-000,2026-05-15 13:43:20,south,371.85
20260515-001,2026-05-15 09:32:31,north,703.98
20260515-002,2026-05-15 09:14:02,east,561.69
20260515-003,2026-05-15 11:46:33,south,868.40
20260515-004,2026-05-15 10:15:31,east,891.19
20260515-005,2026-05-15 13:01:50,east,399.61
20260515-006,2026-05-15 16:35:23,south,145.63
20260515-007,2026-05-15 18:56:31,west,106.77
20260515-008,2026-05-15 10:46:36,south,138.76
20260515-009,2026-05-15 09:08:40,north,169.69
20260515-010,2026-05-15 19:27:51,west,356.59
20260515-011,2026-05-15 18:22:01,north,503.16
20260515-012,2026-05-15 16:32:31,north,114.93
20260515-013,2026-05-15 18:12:42,east,309.14
20260515-014,2026-05-15 17:23:10,west,353.53
20260515-015,2026-05-15 14:29:57,east,263.69
20260515-016,2026-05-15 17:14:27,west,212.85
20260515-017,2026-05-15 16:18:04,east,300.27
20260515-018,2026-05-15 13:49:39,east,98.18
20260515-019,2026-05-15 18:21:56,west,864.80
20260515-020,2026-05-15 11:43:58,south,586.26
20260515-021,2026-05-15 17:51:02,south,290.62
20260515-022,2026-05-15 10:37:45,south,723.04
20260515-023,2026-05-15 11:29:31,north,240.47
20260515-024,2026-05-15 14:50:53,east,159.22
20260515-025,2026-05-15 14:26:00,west,242.83
20260515-026,2026-05-15 08:41:20,north,773.06
20260515-027,2026-05-15 09:34:06,north,397.00
20260515-028,2026-05-15 16:53:25,north,140.80
20260515-029,2026-05-15 12:16:51,south,827.55
20260515-030,2026-05-15 09:29:19,south,626.78
20260515-031,2026-05-15 16:51:37,west,289.85
20260515-032,2026-05-15 18:00:47,east,204.48
20260515-033,2026-05-15 12:48:04,east,409.06
20260515-034,2026-05-15 09:21:37,east,400.18
20260515-035,2026-05-15 19:09:32,north,691.61
20260515-036,2026-05-15 10:48:27,east,283.04
20260515-037,2026-05-15 12:39:09,north,13.68
20260515-038,2026-05-15 17:43:16,south,492.14
20260515-039,2026-05-15 08:34:29,west,735.61
20260515-040,2026-05-15 08:37:53,south,194.16
20260515-041,2026-05-15 09:26:07,south,214.88
